f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,covid
-506.2553,58.546944,8.208971,1.508796,0.7115797,21.006725,6.9229975,7.627742,-10.132582,-1.2628222,-7.9463863,-7.089639,-5.311203,0.7990668,-3.6075723,-2.173391,-9.082217,-9.600508,-10.262654,-3.3935378,-7.0236626,-2.991426,-7.3781867,-5.7954154,-6.543484,-6.173717,-6.928698,-6.9204187,-6.183069,-3.7155435,-6.0424967,-2.1149216,-3.9522219,-0.9623396,0.93922055,0.09472371,-0.9958347,1.6229297,1.5614909,2.4741743,0
-379.1235,92.99909,-24.728554,-9.085168,-9.127198,-4.18734,-4.7075443,-8.101783,-11.898919,-7.102487,-9.99595,-12.852149,-2.6396515,-7.3981824,-4.6748695,-4.6392026,-11.310818,-4.9135904,-1.8215915,-6.456656,-2.5926735,-0.044858247,-4.740725,-2.0658896,-3.0442734,-5.1994495,-0.8821462,-2.6144485,-3.3538237,0.08438242,-1.7460953,-0.36930567,1.7292495,0.023566302,0.10008614,-0.18608215,-0.11111246,0.05510931,0.5770181,-0.20270282,0
-386.66293,63.141632,-47.726646,8.717107,-36.518974,0.76862013,-0.59529126,-4.1131597,-11.631922,-6.7051315,6.9999194,-11.683631,-5.742438,-6.2834587,-5.4477496,-7.6327257,-3.4311466,-2.8542473,-5.120323,-0.9662941,-3.7966197,0.2822545,-3.2671041,-3.4745736,-0.53348666,-3.0448918,-1.431378,0.4276237,-2.19536,-2.5560691,0.02087703,-0.7846127,-0.8327706,-0.41745034,-1.2249486,-1.4188356,0.22329901,-0.1347536,-0.73236024,-1.1487556,0
-456.39966,41.044495,-40.47069,28.840528,-16.897919,4.8574243,-17.831356,-20.256336,-11.829671,3.3990428,-1.257566,0.85566956,-2.6210651,-15.782059,10.910529,-2.711364,-2.3861368,-7.143915,-10.179688,1.8556894,-1.3072419,0.0013030792,-1.1449314,-0.95602864,-3.3158162,3.361335,-1.5571765,-4.4455733,-2.2779257,-3.5820296,-1.1720594,-6.261198,-0.5746066,0.011083295,-2.4049072,-1.7978729,-2.6755657,2.1699002,0.3268454,-0.6096898,0
-334.81244,69.882355,-55.550846,23.841532,-27.2452,7.937753,-12.173011,-14.9225235,-6.8693323,-13.780722,-3.1198096,-15.859527,-1.4884353,-6.800603,-8.86705,-7.8606787,-12.808362,-6.5603414,-9.682476,-7.89994,-1.6961774,-0.71900314,-2.4323366,-1.2326475,-5.2949033,-3.7646818,-1.0288372,-3.774219,-1.6851488,-4.9026647,-3.3551288,0.43282795,-4.871584,-2.5256991,0.7369925,-3.7482042,-1.8861073,0.2962974,-0.19988683,0.73957735,0
-526.8371,48.274403,1.1431222,12.34223,-3.6821847,14.27906,-3.214641,3.757928,-8.709153,1.7474358,0.30614865,0.01224176,-5.4476886,-8.870749,-3.606349,-8.306007,-2.6286232,-8.71854,-2.410824,-5.4323797,-5.803879,-4.9707904,-4.9928627,-5.801422,-4.823589,-3.9288828,-4.8588514,-0.016579434,-3.7950108,-0.8950719,-1.2213384,-2.9441514,-1.8974833,-1.5747229,-2.8278413,-1.5914187,-2.3879008,-3.446581,-1.6093006,-2.9268782,0
-427.737,49.19768,-27.258297,-6.385432,-4.789957,-4.2134957,-10.646193,-9.534462,-3.3522515,-4.1722245,1.1251543,-6.0252748,-6.1984315,1.2144583,-3.150714,-5.4083095,-3.2117176,-3.507224,-2.9719229,0.94233316,1.0065073,-0.5968643,1.7254384,1.7181146,0.18387568,-0.26498377,-1.3007442,-0.18581773,-0.40467286,-1.6516697,-0.5064923,-0.7814017,0.14336704,0.68266255,-0.7571737,-0.023157215,0.14979008,-0.25089604,0.28732997,0.39609078,0
-422.38275,49.168285,-31.267202,11.479993,-13.610844,7.0327578,-6.8010545,1.6118469,-8.083083,-0.093781315,-2.0094414,-6.667778,3.069394,-0.90483135,3.972867,0.22935171,-4.6367507,-6.574284,-0.50870633,-7.0685534,-1.2115885,0.7667588,-3.9913692,-0.77323544,-2.0599675,-0.63742054,0.41019505,1.5563275,-1.6741126,1.1320026,-0.603198,-1.5983218,-0.30955437,-1.039429,-0.09165626,0.8026694,0.82688206,-1.3510661,0.63030404,-0.6406744,0
-474.31635,39.717693,-29.013216,5.1747193,-14.003577,7.9936395,-12.044929,-1.6951027,-12.243737,-4.232395,2.6756563,-4.089033,-2.5561254,-6.843737,-0.33200195,-4.294146,-1.9871944,-7.5203166,-1.8424258,-4.2218976,-6.278235,0.49749967,-2.3812351,-1.0326978,-1.0196288,-0.62835604,-1.6785489,-1.191233,-2.4305475,-1.4642015,-2.0879571,-1.3251023,-1.6979463,-1.4583621,0.64444405,-1.6306953,0.05654227,-0.1537723,-0.31074584,-0.31679657,0
-298.68115,127.622406,-33.038452,-9.822654,-22.967041,17.08001,-23.73034,-19.117432,-9.453193,-14.078435,-2.65259,-4.5392165,4.6224217,-16.828438,-0.75946283,2.2624848,-15.876662,-3.7023125,-4.748848,-10.073138,-6.52837,-2.7287118,-8.287709,-3.024431,-2.345438,-5.034836,2.0292795,-3.5275853,-6.197998,-2.187853,-3.171265,-7.247351,-3.7985198,-0.70929956,-5.0841737,-2.0754325,-0.9775817,-1.2243838,1.9033237,0.30876157,0
